AUTOMOBILE ASSEMBLER
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Wah-Noble,228.28,230.0,235.0,228.5,235.0,6.72,"3,142"
CLOSE - END MUTUAL FUND
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HBL Growth Fund,9.51,9.55,9.55,9.51,9.55,0.04,"6,840"
HBL Invest Fund,3.38,3.29,3.45,3.29,3.45,0.07,"22,088"
Tri-Star Mutual,8.35,8.84,8.84,7.54,8.56,0.21,"1,077"
COMMERCIAL BANKS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Allied Bank Ltd,128.03,128.0,129.0,127.06,128.35,0.32,"11,946"
Askari Bank,45.39,45.55,46.7,45.12,45.61,0.22,"1,053,871"
B.O.Punjab,9.97,10.0,10.05,9.94,9.98,0.01,"3,188,751"
Bank Al-Falah,74.88,74.88,74.9,73.75,74.05,-0.83,"484,821"
Bank AL-Habib,139.33,139.01,140.4,138.75,139.0,-0.33,"122,938"
Bank Makramah,3.45,3.32,3.5,3.32,3.43,-0.02,"1,102,639"
Bank Of Khyber,14.61,14.5,15.0,14.5,14.8,0.19,"8,155"
Bankislami Pak,20.08,20.33,20.34,20.06,20.13,0.05,"351,987"
Faysal Bank,48.53,48.5,49.2,48.0,48.29,-0.24,"1,489,961"
Habib Bank,157.91,158.01,158.99,156.5,157.55,-0.36,"992,793"
Habib Metropolitan,89.22,87.11,91.95,87.11,88.8,-0.42,"9,697"
JS Bank Ltd,8.20,8.05,8.29,8.05,8.26,0.06,"51,173"
MCB Bank LtdXD,285.08,285.0,287.0,282.01,283.0,-2.08,"178,536"
Meezan Bank Ltd,286.62,287.99,287.99,283.6,285.5,-1.12,"249,515"
National BankXD,87.98,88.05,88.55,87.15,87.55,-0.43,"1,406,700"
Samba Bank,8.59,8.99,8.99,8.99,8.99,0.4,26
Soneri Bank Ltd,16.30,16.44,16.47,16.25,16.3,,"105,583"
St.Chart.Bank,60.12,62.0,62.0,59.51,61.03,0.91,"3,225"
United Bank,518.79,518.79,519.89,511.0,513.2,-5.59,"301,842"
ENGINEERING
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agha Steel Ind.,8.08,8.24,9.08,8.11,8.83,0.75,"6,526,739"
Aisha Steel Mill,11.07,11.25,11.5,11.07,11.2,0.13,"4,736,090"
Amreli Steels,23.13,23.6,25.44,23.54,25.44,2.31,"3,110,601"
Beco Steel Ltd,9.14,9.44,10.14,9.22,10.14,1.0,"1,538,736"
Bolan Casting,93.21,92.3,97.95,92.3,94.5,1.29,"95,928"
Crescent SteelXD,121.92,122.5,127.0,120.01,122.1,0.18,"941,216"
Dadex Eternit,64.92,66.0,66.49,63.2,66.0,1.08,"14,420"
Dost Steels Ltd.,8.34,8.37,9.34,8.37,9.34,1.0,"2,343,996"
Int. Ind.Ltd.,153.29,153.29,161.0,150.25,159.5,6.21,"544,609"
Inter.Steel Ltd,81.24,81.24,86.9,81.24,84.25,3.01,"1,630,888"
Ittefaq Iron Ind,7.56,7.69,8.13,7.4,7.9,0.34,"1,849,833"
K.S.B.Pumps,166.73,167.27,167.9,164.21,164.99,-1.74,"28,328"
Metro Steel,9.25,9.5,10.2,9.21,10.1,0.85,"112,554"
Mughal Iron,72.18,72.8,76.6,72.8,75.29,3.11,"1,450,870"
Pak Engineering,690.00,738.0,738.0,700.0,700.0,10.0,181
EXCHANGE TRADED FUNDS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Alfalah Consumer,15.75,15.7,15.7,15.7,15.7,-0.05,"2,000"
HBL Total Treasury,117.75,117.8,117.9,117.8,117.9,0.15,"1,000"
JS Global Banking,22.36,22.24,22.24,22.21,22.21,-0.15,"2,500"
JS Momentum,11.48,11.41,11.46,11.32,11.35,-0.13,"456,000"
Mahaana Islamic,15.38,15.38,15.42,15.28,15.28,-0.1,"257,000"
Meezan Pakistan,17.63,17.64,17.71,17.53,17.58,-0.05,"160,000"
NBP Pakistan G ETF,24.09,0,0,0,0,,500
NIT Pakistan,27.53,27.3,27.3,27.3,27.3,-0.23,"2,500"
UBLPakistanETF,27.26,27.35,27.35,27.0,27.22,-0.04,"10,000"
FERTILIZER
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agritech Limited,56.31,56.99,56.99,54.51,55.0,-1.31,"104,464"
Arif Habib Corp,10.71,10.89,10.89,10.61,10.73,0.02,"185,282"
Engro Fertert,181.07,181.57,182.5,179.01,181.1,0.03,"591,082"
Fatima Fert,86.53,86.0,87.0,85.51,86.6,0.07,"118,219"
Fauji FertXD,368.36,370.2,370.2,365.01,365.6,-2.76,"449,787"
FOOD & PERSONAL CARE PRODUCTS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Al-Shaheer Corp,8.01,8.23,8.38,7.98,8.01,,"1,982,544"
At-Tahur Ltd.,49.83,49.5,50.0,45.5,46.01,-3.82,"14,035,600"
