AUTOMOBILE ASSEMBLER
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Diamond Ind.,24.95,22.66,26.96,22.5,23.01,-1.94,"6,308"
ECOPACK Ltd,36.34,37.0,37.0,36.0,36.1,-0.24,"11,660"
Gammon Pak,25.82,26.0,26.0,24.05,24.75,-1.07,"121,290"
GOC (Pak) Ltd.,61.00,61.0,62.0,61.0,61.0,,973
Mandviwala,18.04,18.0,18.5,17.5,18.0,-0.04,"17,216"
Olympia Mills,51.57,47.11,52.0,47.1,49.48,-2.09,"10,531"
Pak Services,936.01,930.02,949.0,930.01,930.02,-5.99,94
Pakistan Alumin,107.56,109.79,113.0,108.01,111.5,3.94,"99,546"
Shifa Int.Hospital,458.85,470.0,470.0,453.0,453.0,-5.85,"17,333"
Siddiqsons Tin,5.48,5.54,5.87,5.3,5.64,0.16,"1,497,158"
Tri-Pack Films,124.18,128.0,130.0,122.0,125.0,0.82,"12,775"
UDL Int.Ltd.,8.08,8.0,8.0,8.0,8.0,-0.08,22
United Brands,26.08,26.01,27.0,25.2,26.5,0.42,"20,668"
United Distributor,61.50,60.45,62.0,60.45,61.05,-0.45,"1,505"
MODARABAS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
1st.Fid.Leasing,2.00,1.9,2.19,1.87,2.19,0.19,"27,005"
B.F.Modaraba,7.86,8.08,8.2,7.86,8.19,0.33,"40,356"
Elite Cap.Mod,18.87,19.87,19.87,19.8,19.8,0.93,"1,505"
Equity Modaraba,3.45,3.49,3.49,2.9,2.9,-0.55,"29,244"
F.Treet Manuf,4.00,4.18,4.39,4.0,4.39,0.39,"12,832"
Habib Modaraba,21.51,21.84,21.9,21.54,21.8,0.29,"22,562"
I.B.L.Modarab,3.25,3.25,3.25,3.2,3.2,-0.05,"5,317"
OLP Modaraba,16.11,16.55,16.55,16.45,16.45,0.34,6
Orient Rental,9.05,9.75,9.75,9.75,9.75,0.7,1
Paramount Mod,7.12,7.92,8.0,7.4,7.8,0.68,"12,308"
Popular Islamic,12.51,13.76,13.76,13.76,13.76,1.25,526
Prud Mod.1st,1.96,2.05,2.05,1.92,1.98,0.02,"21,961"
Punjab Mod,2.88,2.98,2.98,2.6,2.88,,"8,421"
Sindh Modaraba,11.05,11.24,11.24,10.8,10.8,-0.25,8
Tri-Star 1st Mod.,13.51,13.3,13.3,13.25,13.25,-0.26,118
Trust Modaraba,5.20,5.33,5.49,5.14,5.29,0.09,"291,663"
Unicap Modaraba,2.90,2.76,2.99,2.76,2.81,-0.09,"7,364"
OIL & GAS EXPLORATION COMPANIES
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Mari Energies Ltd.,641.08,649.97,649.97,617.55,625.5,-15.58,"1,292,831"
Oil & Gas DevXD,211.50,213.0,213.51,209.4,210.7,-0.8,"3,189,078"
Pak Oilfields,537.29,540.0,542.5,533.6,536.0,-1.29,"57,205"
Pak PetroleumXD,172.39,174.4,177.99,172.6,176.17,3.78,"6,483,692"
OIL & GAS MARKETING COMPANIES
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Petroleum,455.18,451.0,459.7,451.0,453.5,-1.68,"6,359"
Burshane LPG,29.09,29.97,29.97,28.75,28.75,-0.34,"22,503"
Hascol Petrol,9.99,10.1,10.13,9.92,9.97,-0.02,"1,270,500"
HI-Tech Lub.,41.33,41.33,41.9,40.9,41.0,-0.33,"126,449"
Oilboy Energy,9.06,9.0,9.37,8.91,9.0,-0.06,"41,013"
P.S.O.,379.95,388.0,391.0,383.3,384.02,4.07,"2,803,066"
Sui North GasXD,119.90,121.0,122.3,120.01,120.2,0.3,"2,320,110"
Sui South Gas,35.69,36.03,36.34,35.75,35.85,0.16,"5,234,527"
Wafi Energy Pak,167.20,168.05,170.0,167.0,167.33,0.13,"59,068"
"PAPER, BOARD & PACKAGING"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Century Paper,24.06,24.19,25.1,24.19,24.98,0.92,"690,324"
Cherat Packaging,101.76,104.5,104.5,102.0,103.0,1.24,"32,472"
Int. Packaging Films,21.00,21.0,21.0,21.0,21.0,,"8,501"
MACPAC Films,15.18,15.3,15.4,15.1,15.33,0.15,"27,175"
Merit Packaging,9.33,9.35,9.4,9.1,9.4,0.07,"6,109"
Packages Ltd.,523.26,515.01,525.0,515.01,517.0,-6.26,"5,124"
Pak Paper Prod,142.02,140.0,144.0,138.0,140.0,-2.02,"1,537"
Roshan Packages,14.52,14.75,15.25,14.49,14.91,0.39,"797,924"
Security Paper,153.47,154.73,155.0,153.75,154.95,1.48,"4,049"
SPEL LimitedXD,39.78,40.2,40.4,39.55,39.97,0.19,"291,292"
PHARMACEUTICALS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abbott Lab.,979.75,979.75,980.0,965.0,973.75,-6.0,"14,216"
AGP Limited,185.29,188.0,188.0,183.0,186.0,0.71,"133,072"
BF Biosciences,168.03,173.0,174.9,166.3,173.8,5.77,"3,081,560"
Citi Pharma Ltd,87.45,88.6,89.48,86.55,86.99,-0.46,"2,064,133"
Ferozsons (Lab),279.28,285.5,304.99,285.0,300.0,20.72,"426,546"
GlaxoSmithKline,379.09,381.0,382.0,373.0,375.35,-3.74,"155,477"
Haleon Pakistan,734.27,736.0,739.0,720.0,724.99,-9.28,"53,709"
Highnoon (Lab),921.16,921.16,929.9,901.0,916.5,-4.66,"12,062"
Hoechst Pak Ltd,"3,249.00",3281.0,3284.0,3152.02,3152.02,-96.98,5
IBL HealthCare,37.62,38.38,40.92,37.75,40.38,2.76,"1,498,938"
Liven Pharma,68.54,71.0,74.45,70.0,70.75,2.21,"1,170,791"
Macter Int. Ltd,365.69,365.69,375.0,352.16,360.0,-5.69,"8,449"
Otsuka Pak,252.26,265.0,277.49,240.1,277.49,25.23,"466,749"
The Searle Company,86.36,86.93,88.2,85.7,86.7,0.34,"1,971,006"
POWER GENERATION & DISTRIBUTION
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Altern Energy,11.77,11.83,11.84,11.71,11.76,-0.01,"125,541"
Engro Powergen,27.14,27.49,27.49,27.05,27.3,0.16,"261,486"
Hub Power Co.,140.73,142.0,142.0,140.01,140.87,0.14,"1,995,430"
K-Electric Ltd.,4.40,4.4,4.46,4.35,4.4,,"6,884,051"
Kohinoor Energy,16.70,16.97,16.97,16.6,16.74,0.04,"413,071"
Kohinoor Power,6.00,6.4,6.4,5.94,5.95,-0.05,"1,401"
Kot Addu Power,31.05,31.23,31.33,30.91,31.2,0.15,"143,991"
Lalpir Power,23.75,24.24,24.24,23.5,23.85,0.1,"27,217"
Nishat ChunPowerXD,23.58,23.9,23.9,23.6,23.6,0.02,"85,776"
Nishat Power,35.53,35.98,36.0,35.66,36.0,0.47,"124,590"
Pakgen PowerXD,114.14,120.0,120.0,117.5,118.48,4.34,87
S.G.Power,8.39,8.0,8.84,7.86,8.3,-0.09,"6,230"
Saif Power Ltd,11.51,11.54,11.89,11.5,11.8,0.29,"253,885"
Tri-Star Power,6.46,6.3,6.73,6.27,6.5,0.04,"6,956"
PROPERTY
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
B.R.R Guardia Ltd,22.40,21.12,22.41,21.12,22.4,,505
Hussain Industries,26.65,26.0,26.0,26.0,26.0,-0.65,500
Javedan Corp.,59.99,61.4,65.9,61.4,62.75,2.76,"515,743"
Pace (Pak) Ltd.,5.36,5.39,5.46,5.17,5.36,,"748,233"
TPL Properties,8.92,8.91,9.36,8.9,9.14,0.22,"4,243,047"
REAL ESTATE INVESTMENT TRUST
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Dolmen City,26.24,26.24,26.35,26.19,26.31,0.07,"202,158"
Globe Residency,16.14,16.15,16.29,16.0,16.29,0.15,"7,694"
TPL REIT Fund I,13.39,13.5,14.5,13.4,13.5,0.11,"15,823"
REFINERY
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Refinery,608.32,618.0,619.95,599.0,601.5,-6.82,"377,189"
Cnergyico PK,7.68,7.7,7.8,7.55,7.75,0.07,"5,651,935"
National Refinery,233.91,236.0,241.0,230.0,231.11,-2.8,"256,682"
Pak Refinery,33.43,33.6,33.77,32.6,32.65,-0.78,"4,713,546"
SUGAR & ALLIED INDUSTRIES
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abdullah Shah,5.52,5.8,5.8,5.56,5.57,0.05,"2,527"
Adam Sugar,55.19,55.38,55.5,50.26,55.43,0.24,"5,248"
Al-Abbas Sugar,768.83,803.0,803.0,785.1,785.1,16.27,55
AL-Noor Sugar,82.30,88.0,88.0,74.25,80.0,-2.3,401
Chashma Sugar,68.74,66.0,69.9,66.0,69.9,1.16,12
Dewan Sugar,5.57,5.6,5.7,5.5,5.55,-0.02,"31,723"
Faran Sugar Mills,47.60,51.0,51.0,43.5,44.75,-2.85,"115,974"
Habib Rice Prod,32.00,31.69,31.69,31.69,31.69,-0.31,"1,009"
Habib Sugar,71.95,70.37,70.57,70.0,70.0,-1.95,"6,500"
Haseeb Waqas Sugar,9.32,9.32,10.32,9.25,10.0,0.68,"189,976"
J.D.W.Sugar,940.49,940.49,960.0,940.49,949.9,9.41,246
Jauharabad Sug,42.53,42.53,43.99,41.0,43.99,1.46,"19,435"
Mehran Sugar,48.00,46.51,47.78,46.3,47.78,-0.22,"11,951"
Mirpurkhas Sugar,28.85,29.0,29.0,26.5,28.0,-0.85,"458,291"
Noon Sugar,78.75,84.44,84.6,84.44,84.6,5.85,100
Sakrand Sugar,11.80,11.0,11.95,11.0,11.7,-0.1,"315,479"
Sanghar Sugar,59.05,61.88,61.88,53.16,55.58,-3.47,625
Shahmurad Sugar,365.00,370.0,370.0,365.0,365.0,,"8,536"
Shahtaj Sugar,125.29,115.02,124.99,115.02,124.99,-0.3,245
Shakarganj Limited,70.05,70.05,72.5,69.0,70.33,0.28,"64,122"
Sindh Abadgar,62.51,62.0,62.0,62.0,62.0,-0.51,1
Tandlianwala Sugar,170.40,175.0,175.0,159.0,174.3,3.9,868
Tariq Corp Ltd.,15.54,15.1,15.3,14.77,15.2,-0.34,"91,810"
Tariq Corp(Pref),8.11,7.15,7.15,7.15,7.15,-0.96,1
Thal Ind.Corp.,320.58,333.0,345.0,310.1,333.0,12.42,9
SYNTHETIC & RAYON
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Gatron Ind.,111.46,113.0,115.88,111.16,111.16,-0.3,"2,808"
Ibrahim Fibres,339.87,347.5,347.5,328.0,339.49,-0.38,94
Image PakistanXD,23.11,23.39,24.0,23.25,23.5,0.39,"2,085,888"
National Silk,50.04,45.6,52.9,45.6,52.9,2.86,11
Pak Synthetics,62.34,66.0,67.9,56.25,60.0,-2.34,"50,187"
Rupali Polyester,18.28,19.74,20.11,19.51,20.11,1.83,"102,868"
TECHNOLOGY & COMMUNICATION
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Air Link Commun,159.96,162.0,162.0,157.0,157.79,-2.17,"343,723"
Avanceon Ltd,51.21,51.15,52.0,50.32,50.32,-0.89,"789,341"
Hum Network,12.56,12.15,12.63,12.15,12.4,-0.16,"463,310"
Media Times Ltd,1.85,1.89,1.89,1.81,1.82,-0.03,"3,611"
Netsol Tech.,140.24,141.5,141.98,137.5,139.5,-0.74,"772,100"
Octopus Digital,54.10,55.01,55.98,54.1,54.1,,"568,659"
P.T.C.L.,22.72,22.99,22.99,22.06,22.16,-0.56,"1,626,476"
Pak Datacom,107.80,109.0,110.5,105.05,110.0,2.2,"17,381"
Supernet Technologie,825.00,824.0,824.0,824.0,824.0,-1.0,1
Symmetry Group Ltd,15.28,15.59,15.59,15.02,15.09,-0.19,"2,180,226"
Systems LimitedXD,543.79,544.0,545.0,538.0,540.0,-3.79,"75,348"
Telecard Limited,7.46,7.5,7.62,7.39,7.49,0.03,"2,679,686"
TPL Corp Ltd,4.54,4.69,4.69,4.35,4.57,0.03,"673,580"
TPL Trakker Ltd,5.96,6.01,6.01,5.9,5.95,-0.01,"55,885"
TRG Pak Ltd,63.39,63.1,64.06,62.7,62.7,-0.69,"857,067"
WorldCall Telecom,1.26,1.26,1.27,1.25,1.27,0.01,"8,404,505"
Zarea Limited,15.89,16.12,16.5,15.89,16.0,0.11,"622,617"
TEXTILE COMPOSITE
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AN Textile Mill,13.06,14.37,14.37,14.37,14.37,1.31,"6,821"
Artistic Denim,39.01,38.9,40.0,38.56,40.0,0.99,"14,466"
Aruj Industries,7.69,7.97,7.97,7.62,7.68,-0.01,"47,623"
Azgard Nine,7.90,7.9,8.4,7.9,8.15,0.25,"2,532,687"
Bhanero Tex.,760.00,770.0,770.01,686.0,745.9,-14.1,681
Blessed Tex.,268.81,286.0,290.0,258.01,266.22,-2.59,25
Chenab Limited,6.00,6.0,6.19,5.14,5.66,-0.34,"501,209"
Chenab Ltd.(Pre,2.50,2.55,2.69,2.5,2.51,0.01,"15,675"
Crescent Tex.,13.61,13.8,14.19,13.5,13.74,0.13,"297,791"
Fazal Cloth,130.09,143.1,143.1,143.0,143.1,13.01,"13,014"
Feroze 1888,59.97,62.0,62.31,59.05,59.05,-0.92,"16,516"
Ghazi Fabrics,10.48,10.98,10.98,10.25,10.25,-0.23,"26,501"
Gul Ahmed,22.18,22.5,22.79,21.96,22.6,0.42,"7,024,691"
Hafiz Limited,270.05,250.0,280.0,250.0,280.0,9.95,100
Hala Enterprise,13.80,14.0,15.18,14.0,15.18,1.38,"62,527"
Int.Knitwear,13.91,14.2,14.55,14.2,14.3,0.39,"8,193"
Interloop Ltd.,57.02,57.02,59.75,57.02,59.05,2.03,"1,407,536"
Jubilee Spinning,8.28,8.5,8.5,8.02,8.02,-0.26,125
Khyber Textile,"1,183.53",1301.88,1301.88,1301.88,1301.88,118.35,62
Kohinoor Ind.,11.14,11.14,11.3,10.22,10.6,-0.54,"7,900"
Kohinoor Mills,31.52,31.52,31.52,31.52,31.52,,1
Kohinoor Textile,161.70,164.99,169.0,160.0,165.0,3.3,"14,677"
Masood Textile,53.50,58.0,58.0,58.0,58.0,4.5,1
Mehmood Tex.,309.46,305.59,314.99,285.02,311.79,2.33,76
Nishat (Chun.),36.00,36.1,37.49,36.03,36.5,0.5,"69,616"
Nishat Mills Ltd,109.04,110.0,115.3,110.0,113.8,4.76,"3,618,124"
Paramount Sp,3.11,3.58,3.58,3.15,3.55,0.44,"2,763"
Quetta Textile,14.43,13.12,15.87,13.12,15.87,1.44,"107,691"
Redco Textile,25.06,25.0,25.98,25.0,25.98,0.92,"4,826"
Sapphire Fiber,"1,069.00",1065.0,1133.0,1065.0,1073.0,4.0,74
Sapphire Tex.,"1,119.10",1100.0,1231.01,1008.0,1124.9,5.8,834
Stylers Int.Ltd.XD,41.50,41.49,41.49,39.06,39.5,-2.0,751
Suraj Cotton Mills,105.68,110.99,110.99,101.0,106.0,0.32,"5,807"
Towellers Limited,118.15,118.97,119.48,117.01,119.48,1.33,"6,394"
ZahidJee Tex.,26.55,25.6,25.6,25.1,25.1,-1.45,302
TEXTILE SPINNING
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Ali Asghar Textile,41.50,43.2,43.2,43.2,43.2,1.7,6
Amtex Limited,2.61,2.73,2.73,2.6,2.64,0.03,"22,637"
Arctic Textile,25.99,28.5,28.59,24.65,28.59,2.6,"273,224"
Asim Textile,12.50,13.39,13.39,13.39,13.39,0.89,400
Bilal Fibres,19.68,20.02,20.45,17.71,18.88,-0.8,"426,684"
Chakwal Spinning,45.67,45.0,47.3,44.01,45.45,-0.22,"116,777"
Colony Tex.Mills Ltd,3.53,3.53,3.64,3.51,3.6,0.07,"19,149"
Crescent Cotton,48.20,48.2,48.38,48.2,48.38,0.18,66
D.S. Ind. Ltd.,4.40,4.31,4.35,4.28,4.35,-0.05,"63,305"
Dewan Farooque Sp.,3.00,2.9,3.0,2.9,3.0,,"39,536"
Dewan Mushtaq,10.83,10.88,10.9,10.85,10.9,0.07,275
Dewan Textile,6.07,6.19,6.19,5.85,5.85,-0.22,"1,081"
Din Textile,45.00,48.74,48.74,48.74,48.74,3.74,1
Elahi Cotton,113.52,124.65,124.85,102.26,123.99,10.47,546
Ellcot Spinning,106.32,104.99,105.0,102.0,102.0,-4.32,"1,005"
Gadoon Textile,318.00,320.0,329.0,318.0,323.0,5.0,"11,417"
Gulistan Sp.,8.10,8.05,8.1,8.01,8.1,,"1,301"
Gulshan Sp.,3.57,3.49,3.64,3.48,3.55,-0.02,"21,230"
Hira Textile,3.03,3.12,3.15,2.96,3.15,0.12,"188,521"
Ideal Spinning,12.75,12.24,12.24,12.24,12.24,-0.51,554
Idrees Textile,16.54,16.98,16.99,16.9,16.9,0.36,"1,500"
Indus Dyeing,140.32,143.9,144.4,138.0,138.65,-1.67,"31,607"
J.A.Textile,22.40,22.99,22.99,20.52,21.5,-0.9,"7,027"
Janana D Mal,50.01,53.0,55.01,53.0,55.01,5.0,"104,934"
Kohat Textile,30.87,30.98,33.96,29.0,33.96,3.09,"108,126"
Kohinoor Spining,5.15,5.16,5.2,5.03,5.08,-0.07,"4,343,976"
Maqbool Textile,35.95,39.53,39.53,32.8,32.8,-3.15,506
Nagina Cotton,48.01,52.8,52.81,52.8,52.81,4.8,925
Nazir Cotton Mills,13.60,13.5,13.5,13.5,13.5,-0.1,2
Premium Tex.,380.35,370.01,370.01,370.01,370.01,-10.34,1
Reliance Cotton,443.62,440.0,458.97,434.0,434.0,-9.62,299
Ruby Textile,7.68,7.41,7.41,7.41,7.41,-0.27,10
Saif Textile,9.21,9.39,9.71,9.39,9.71,0.5,302
Sally Textile,8.25,8.0,8.25,8.0,8.25,,990
Sana Ind.,23.12,23.1,23.1,23.1,23.1,-0.02,332
Saritow Spinning,13.28,12.76,13.1,12.76,13.1,-0.18,"1,470"
Service Ind Tex,15.27,16.8,16.8,16.0,16.8,1.53,"41,838"
Shadab Textile,23.74,24.0,24.5,23.85,24.5,0.76,"4,987"
Shadman Cotton,31.90,31.8,31.8,31.5,31.5,-0.4,20
Sunrays Textile,224.55,229.0,229.99,213.0,214.0,-10.55,"37,834"
Tata Textile,42.11,42.69,43.0,40.4,42.89,0.78,"10,589"
TEXTILE WEAVING
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
ICC Industries,10.48,10.48,10.8,9.61,9.8,-0.68,"2,611"
Prosperity Weaving,36.06,36.9,39.67,36.0,39.67,3.61,"4,061"
Shahtaj Textile,76.11,76.2,83.7,72.04,72.04,-4.07,252
Yousuf Weaving,3.63,3.72,3.72,3.57,3.64,0.01,"161,494"
TOBACCO
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Khyber Tobacco,369.15,370.01,373.0,356.02,356.02,-13.13,"11,599"
Pak Tobacco,"1,199.18",1181.0,1248.0,1181.0,1181.0,-18.18,"1,508"
Philip Morris Pak.,"1,099.81",1137.98,1137.98,1082.3,1114.91,15.1,24
TRANSPORT
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Cordoba Logist,15.55,16.0,16.0,14.15,15.17,-0.38,173
P.N.S.C,313.53,324.0,339.97,313.0,319.89,6.36,"158,012"
Pak Int.Bulk,8.72,8.63,8.88,8.63,8.71,-0.01,"1,284,962"
Pak.Int.Container,38.80,38.8,38.97,38.4,38.88,0.08,"21,888"
Secure Logistics Gro,15.96,16.1,16.2,15.61,15.75,-0.21,"402,906"
VANASPATI & ALLIED INDUSTRIES
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Punjab Oil,205.50,226.05,226.05,226.05,226.05,20.55,"9,397"
S.S.Oil,833.77,840.0,850.0,760.0,760.0,-73.77,"29,066"
WOOLLEN
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bannu Woollen,33.14,33.15,35.25,32.5,33.44,0.3,"16,676"
